DEPTH,GR ,PEFZ,RT_HRLT ,RHOZ,TNPH,DTCO,DTSM_fast,DTSM_slow
ft,GAPI,PE,ohms,g/cc,V/V,ft/s,ft/s,ft/s
11790,39.7724,5.7458,1.827037286,2.6806,0.0708,56.4052,107.075,107.2424
11790.5,49.0972,5.5225,1.728209995,2.6477,0.1285,63.7013,112.3313,112.3846
11791,61.8126,5.2849,1.655119314,2.6087,0.1284,70.2047,116.9187,117.4174
11791.5,74.4337,5.0855,1.66274839,2.5737,0.1019,72.5793,119.6541,120.7501
11792,77.4922,4.9583,1.786447381,2.5486,0.1069,72.721,121.3423,122.7769
11792.5,77.5624,4.9337,1.701820286,2.5325,0.1137,72.9384,122.8413,123.9937
11793,77.0691,4.9575,1.558337702,2.5185,0.1169,77.3863,123.3744,123.4141
11793.5,88.6052,5.0142,1.846908063,2.5196,0.1287,79.0207,120.1044,121.7666
11794,86.7128,5.1514,2.112962745,2.5396,0.0843,74.7366,115.3461,116.9935
11794.5,69.4265,5.373,2.453222601,2.5868,0.0348,62.6443,110.6524,112.8432
11795,41.0938,5.5855,2.273903898,2.6309,0.0145,53.8821,108.7292,110.0104
11795.5,30.7635,5.6365,1.889402951,2.6289,0.0175,57.1114,110.5401,112.4827
11796,37.9232,5.3802,1.868061776,2.6033,0.0341,68.3418,113.1555,114.5003
11796.5,57.2118,5.1045,1.814866823,2.5727,0.0564,70.9941,116.0249,118.0823
11797,65.4373,4.9553,1.517938579,2.5679,0.068,70.1401,119.3199,120.6208
11797.5,66.7397,5.0275,1.294580406,2.563,0.0852,69.2282,121.6136,122.5584
11798,63.2476,5.0924,1.349434117,2.5526,0.1068,71.6943,123.3334,124.3269
11798.5,67.9091,5.0384,1.418773785,2.5474,0.1367,77.1516,125.2067,126.2812
11799,71.8966,4.9827,1.475106238,2.5458,0.1372,77.2201,125.3008,126.245
11799.5,69.191,4.9537,1.492942308,2.5506,0.1293,74.1561,125.6987,126.3804
11800,67.8872,4.9387,1.4825699,2.5494,0.1241,75.2621,126.5897,126.6221
11800.5,71.9668,4.9002,1.483060262,2.5379,0.1314,78.4193,127.7935,128.4447
11801,88.8883,4.8564,1.571317092,2.5172,0.1602,81.1854,129.6367,130.5237
11801.5,103.8116,4.8417,1.633125632,2.4982,0.1844,85.542,133.491,134.2035
11802,113.9053,4.8351,1.754068707,2.515,0.1839,81.723,135.4879,135.5201
11802.5,104.4785,4.8378,1.749304666,2.5452,0.1596,75.0262,130.8146,131.4406
11803,86.2722,4.8506,1.620889636,2.5783,0.1165,71.8376,127.0017,127.6319
11803.5,79.3166,4.8744,1.294908893,2.5688,0.1028,72.6775,124.6492,125.2233
11804,88.9414,4.9654,1.424430618,2.5565,0.1173,75.9403,124.3759,124.9784
11804.5,98.171,5.1414,1.7617716,2.5468,0.1372,75.6335,124.1007,124.9341
11805,86.0806,5.3179,1.982713536,2.5588,0.1134,69.0312,122.8946,123.5165
11805.5,64.8803,5.3655,1.877315068,2.5725,0.0934,66.7239,121.762,121.8048
11806,59.8102,5.2606,1.705259469,2.5772,0.0763,69.3767,121.1973,121.3665
11806.5,82.6172,5.124,1.505201412,2.5748,0.0901,73.048,122.4397,122.87
11807,100.2979,5.0747,1.681265213,2.5763,0.1092,74.0175,124.2675,125.1096
11807.5,99.9825,5.173,1.801631295,2.5862,0.1133,71.5367,123.2685,124.2186
